# MEAN_SAMPLE_SIZE = 455258
# TOTAL_GENES = 1408
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                  TYPE  NGENES         BETA     BETA_STD           SE            P
astrocyte                COVAR    1408   0.00040583    0.0048809     0.002271       0.4291
b_cell                   COVAR    1408   -0.0014532    -0.019583    0.0020014      0.76605
cycling                  COVAR    1408   -0.0010053    -0.013235     0.002068      0.68653
cytotoxic_th1            COVAR    1408    0.0035227     0.048905    0.0019166     0.033137
embryonic_stem_cells     COVAR    1408   -0.0027832    -0.035331    0.0021409      0.90309
endothelial              COVAR    1408   -0.0026611    -0.032413    0.0022396      0.88252
fetal_quiescent          COVAR    1408   -0.0043569    -0.055759     0.002116      0.98016
fetal_replicating        COVAR    1408   1.4378e-05   0.00019302    0.0020172      0.49716
gabaergic_neurons        COVAR    1408    0.0026902     0.020864    0.0034867      0.22025
hybrid                   COVAR    1408    -0.002561    -0.030097    0.0023116      0.86595
macrophage               COVAR    1408    0.0061978     0.084088    0.0019805    0.0008937
microglia                COVAR    1408    0.0077532      0.09391    0.0022372   0.00027256
monocyte                 COVAR    1408    0.0083483      0.11037    0.0020398   2.2532e-05
neurons                  COVAR    1408   -0.0018041    -0.021259    0.0023209      0.78145
neutrophils              COVAR    1408     0.005948     0.057204    0.0027912     0.016632
nk_cell                  COVAR    1408    0.0038409     0.052808    0.0019465      0.02433
oligodendrocytes         COVAR    1408   -0.0016327    -0.019758    0.0022488      0.76603
opc                      COVAR    1408   -0.0027277    -0.033044    0.0022639      0.88577
stem_cells               COVAR    1408   -0.0025926    -0.033701    0.0020984      0.89158
t_cells                  COVAR    1408    0.0021272     0.028736    0.0019894      0.14256
transitional_memory      COVAR    1408   0.00023486    0.0031325    0.0020402      0.45418
type_1_ifn_signature     COVAR    1408   0.00025917    0.0034626    0.0020279      0.44916
