"cell_type","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"astrocytes_Alzheimer","UTY",3.47858140646308e-228,1.53185902722806,0.677,0.083,9.52887804672432e-224
"astrocytes_Alzheimer","SLC1A3",8.19855761097999e-219,-1.46735625760287,0.99,0.999,2.24583088637575e-214
"astrocytes_Alzheimer","XIST",2.39952078794648e-186,-2.13296347390657,0.152,0.873,6.57300729442178e-182
"astrocytes_Alzheimer","TTTY14",1.25090633680529e-157,1.25367171454098,0.542,0.074,3.42660772841074e-153
"astrocytes_Alzheimer","NLGN4Y",9.96676604630525e-154,1.26182272392847,0.52,0.07,2.7301962230644e-149
"astrocytes_Alzheimer","USP9Y",3.85940833184181e-126,0.780167171849214,0.43,0.053,1.05720772434143e-121
"astrocytes_Alzheimer","ARL17B",1.99540008564271e-113,1.10183029514762,0.538,0.133,5.46599945460106e-109
"astrocytes_Alzheimer","BAIAP3",6.70944332816303e-104,0.789736301301509,0.399,0.06,1.8379178108837e-99
"astrocytes_Alzheimer","LINC00278",7.13315471038773e-102,0.674745301576573,0.315,0.03,1.95398506981651e-97
"astrocytes_Alzheimer","HIF3A",5.05172206215565e-98,0.97716693117868,0.968,0.895,1.3838182244863e-93
"astrocytes_Alzheimer","SLC39A11",1.22346680444046e-95,1.256492174323,0.904,0.715,3.35144261740376e-91
"astrocytes_Alzheimer","PNISR",1.24569254655123e-83,0.851899700519688,0.906,0.768,3.41232559276779e-79
"astrocytes_Alzheimer","MAST4",1.81214751425721e-81,-0.824608094705543,0.89,0.966,4.96401568580479e-77
"astrocytes_Alzheimer","FAM182B",5.10694403497886e-76,1.00243218986971,0.786,0.516,1.39894517950176e-71
"astrocytes_Alzheimer","TUBB2B",1.39870447111629e-75,-1.03604961148896,0.404,0.734,3.83147115772887e-71
"astrocytes_Alzheimer","GPR75-ASB3",2.97375739926687e-73,0.854281100774551,0.884,0.692,8.14601364381174e-69
"astrocytes_Alzheimer","RPS4Y1",1.43467966981866e-72,0.482639874221037,0.256,0.031,3.93001801953426e-68
"astrocytes_Alzheimer","SLC4A4",2.38437674131643e-70,-0.719222869351348,0.934,0.98,6.53152320748809e-66
"astrocytes_Alzheimer","F3",3.3403656250455e-69,-1.2909892987131,0.658,0.838,9.15026355668713e-65
"astrocytes_Alzheimer","MT2A",2.21767223050052e-68,-0.934608445259927,0.596,0.853,6.07486954101006e-64
"astrocytes_Alzheimer","NPNT",1.72203791666634e-64,0.566225252702083,0.256,0.04,4.71717846512412e-60
"astrocytes_Alzheimer","PREX2",1.97286840678646e-63,-0.697405210418978,0.904,0.967,5.40427842671016e-59
"astrocytes_Alzheimer","DGKG",5.42656762907168e-62,0.853341786792707,0.881,0.762,1.4864996706316e-57
"astrocytes_Alzheimer","CTNNA2",2.62671630499038e-60,0.466164781253561,0.999,1,7.19536397426014e-56
"astrocytes_Alzheimer","DDX3Y",1.37591808990039e-58,0.347405945512193,0.202,0.023,3.76905242366413e-54
"astrocytes_Alzheimer","PDE4DIP",1.70790970703457e-58,0.709492705978769,0.959,0.943,4.6784770604798e-54
"astrocytes_Alzheimer","PPP1R3C",6.44195515031462e-58,-1.19132882508504,0.189,0.529,1.76464477432568e-53
"astrocytes_Alzheimer","TTTY10",9.37967343452081e-58,0.33911445388974,0.178,0.016,2.56937394391829e-53
"astrocytes_Alzheimer","ATP1B2",3.02227611273754e-55,-0.781379134589661,0.809,0.914,8.27892095562194e-51
"astrocytes_Alzheimer","DPP10",4.51789906976869e-55,0.920033083843906,0.9,0.813,1.23758809218174e-50
"astrocytes_Alzheimer","TNRC6A",5.19160036496536e-55,0.593516730801562,0.976,0.964,1.42213508797496e-50
"astrocytes_Alzheimer","ARHGEF4",2.54933256278638e-54,0.680524550370678,0.94,0.822,6.98338668924072e-50
"astrocytes_Alzheimer","GLUL",3.98991192436569e-53,-0.7003320957659,0.819,0.935,1.09295657344149e-48
"astrocytes_Alzheimer","DTNA",1.18441594511163e-52,-0.699035428979261,0.997,0.999,3.24447059844427e-48
"astrocytes_Alzheimer","RFTN2",1.32232056959621e-52,0.75358574327577,0.75,0.482,3.62223273629489e-48
"astrocytes_Alzheimer","MAPT",2.57635537734394e-51,0.758807916280322,0.781,0.579,7.05741028515825e-47
"astrocytes_Alzheimer","MIR4300HG",3.86776238325993e-51,1.33721601500064,0.669,0.424,1.05949614964639e-46
"astrocytes_Alzheimer","MSI2",5.03241611103323e-51,-0.457482034722271,0.984,0.992,1.37852974529533e-46
"astrocytes_Alzheimer","NDRG1",3.69123218845703e-50,-0.945093968501733,0.206,0.509,1.01113923338403e-45
"astrocytes_Alzheimer","LRMDA",6.30008693554039e-50,1.02435877436323,0.68,0.439,1.72578281425258e-45
"astrocytes_Alzheimer","AC105402.3",2.51065090704227e-49,1.01372577997639,0.739,0.378,6.87742602966089e-45
"astrocytes_Alzheimer","ANGPT1",5.0496008175832e-49,0.718078911454627,0.336,0.102,1.38323715196057e-44
"astrocytes_Alzheimer","MT3",1.25042998544819e-48,-0.914662189828296,0.639,0.841,3.42530285913822e-44
"astrocytes_Alzheimer","CNTN1",3.92484897556522e-48,0.62574195560674,0.953,0.861,1.07513387987658e-43
"astrocytes_Alzheimer","MT1X",8.20450182042843e-48,-0.99744563877106,0.23,0.525,2.24745918366996e-43
"astrocytes_Alzheimer","CADM1",9.22936694109673e-48,-0.471559805849925,0.973,0.99,2.52820048617463e-43
"astrocytes_Alzheimer","AC008957.2",3.63296302127134e-47,-0.718271098297615,0.186,0.482,9.95177560416859e-43
"astrocytes_Alzheimer","ZFY",1.0933670267993e-46,0.316012338436198,0.153,0.016,2.99506029651132e-42
"astrocytes_Alzheimer","TTTY15",4.22621599174534e-46,0.25523017145306,0.137,0.011,1.1576873466188e-41
"astrocytes_Alzheimer","C4orf19",7.11531170959747e-46,-0.922315158261299,0.346,0.614,1.94909733661003e-41
"astrocytes_Alzheimer","ALDH1A1",1.13303497616953e-45,-1.08587239112184,0.349,0.632,3.1037227102212e-41
"astrocytes_Alzheimer","FTH1",2.92463058792996e-45,-1.76622754620552,0.614,0.774,8.01144056951655e-41
"astrocytes_Alzheimer","NEDD4L",6.80914627684848e-45,0.753322361258707,0.622,0.363,1.8652294396171e-40
"astrocytes_Alzheimer","ADARB2",3.61473545793385e-44,0.727100623358427,0.423,0.175,9.90184483991819e-40
"astrocytes_Alzheimer","AL137145.2",1.25386371913072e-43,-1.18816785617197,0.32,0.548,3.43470888581477e-39
"astrocytes_Alzheimer","ITPR2",2.99198151961898e-43,-0.679649049901745,0.951,0.98,8.19593497669227e-39
"astrocytes_Alzheimer","NPL",5.18454444276152e-43,0.61392257773448,0.822,0.595,1.42020225920566e-38
"astrocytes_Alzheimer","APOE",8.62176617878904e-43,-0.792238877125891,0.725,0.877,2.36176040935568e-38
"astrocytes_Alzheimer","GNA14",3.49236854334445e-42,-1.17446422009337,0.841,0.9,9.56664515078344e-38
"astrocytes_Alzheimer","GALNT16",4.73347709297225e-42,-0.834060882870365,0.075,0.338,1.29664138007789e-37
"astrocytes_Alzheimer","AC006059.1",4.81944772195389e-42,0.737364308129113,0.426,0.181,1.32019131447483e-37
"astrocytes_Alzheimer","ABR",4.83913452027582e-42,0.62114010653999,0.856,0.726,1.32558411913915e-37
"astrocytes_Alzheimer","RORA",8.21306906237701e-42,0.444103466281944,0.999,0.998,2.24980600825694e-37
"astrocytes_Alzheimer","ZFP36",1.11423249196112e-41,-0.932167411450133,0.1,0.365,3.05221706522911e-37
"astrocytes_Alzheimer","AC010099.4",2.31537296389401e-41,-0.998323627664489,0.224,0.512,6.34250115999486e-37
"astrocytes_Alzheimer","AHCYL1",4.48784750570591e-41,-0.576793173442365,0.919,0.962,1.22935606723802e-36
"astrocytes_Alzheimer","FRMPD4",6.5551889816719e-41,0.945581199276657,0.461,0.221,1.79566291774938e-36
"astrocytes_Alzheimer","TMTC2",8.45281297493356e-41,-1.00643832477611,0.795,0.888,2.31547905822355e-36
"astrocytes_Alzheimer","KDM5D",1.31955138242355e-40,0.2788078037703,0.184,0.032,3.61464710187284e-36
"astrocytes_Alzheimer","CAMK2B",2.2394265692299e-40,0.713011964688179,0.636,0.416,6.13446120109146e-36
"astrocytes_Alzheimer","NCKAP5",2.77561963204187e-40,0.554817334534801,0.92,0.857,7.60325485805228e-36
"astrocytes_Alzheimer","ACACB",3.93428728206426e-40,0.589893991846548,0.832,0.67,1.07771931517586e-35
"astrocytes_Alzheimer","SOCS3",5.21152288671471e-40,-0.62233778816285,0.013,0.242,1.42759246435776e-35
"astrocytes_Alzheimer","NPAS3",1.57274115957067e-39,-0.344547987431206,1,0.999,4.30820985841193e-35
"astrocytes_Alzheimer","COL21A1",1.39039946614661e-38,0.81131482179927,0.414,0.176,3.8087212576154e-34
"astrocytes_Alzheimer","PIK3C2A",1.59195954893087e-38,-0.624551289009932,0.623,0.817,4.36085479238634e-34
"astrocytes_Alzheimer","ADAMTSL3",1.66103367217388e-38,0.574222165670956,0.231,0.059,4.5500695381859e-34
"astrocytes_Alzheimer","TFRC",2.80090629813395e-38,-0.650438650407216,0.177,0.448,7.67252262247833e-34
"astrocytes_Alzheimer","SLC6A1-AS1",2.9139517474956e-38,-0.776615369098999,0.274,0.528,7.9821880219147e-34
"astrocytes_Alzheimer","ITGB4",3.22037218326471e-38,0.645842838908392,0.688,0.459,8.82156552161701e-34
"astrocytes_Alzheimer","GADD45B",3.96779117992728e-38,-0.735348591461362,0.05,0.288,1.08689703791748e-33
"astrocytes_Alzheimer","FAM171A1",5.16075000772746e-38,0.567890458374897,0.856,0.72,1.41368424961678e-33
"astrocytes_Alzheimer","LMNTD1",8.11249659086216e-38,0.707528637388214,0.317,0.112,2.22225619113487e-33
"astrocytes_Alzheimer","C1orf61",8.76644274434887e-38,-0.683699558931903,0.813,0.931,2.40139166095949e-33
"astrocytes_Alzheimer","CPNE8",1.18874241841158e-37,-1.21406238930859,0.414,0.6,3.25632210675485e-33
"astrocytes_Alzheimer","SPRED1",1.43258550958235e-37,-0.738181483724813,0.573,0.755,3.92428148639893e-33
"astrocytes_Alzheimer","RALGAPA2",3.26082561206832e-37,-0.915342664546403,0.679,0.798,8.93237959913874e-33
"astrocytes_Alzheimer","AGT",3.74447502221935e-37,-0.642788284648342,0.517,0.731,1.02572404283655e-32
"astrocytes_Alzheimer","NWD1",4.06538026709126e-37,0.697202528856333,0.529,0.276,1.11362961656431e-32
"astrocytes_Alzheimer","ZFP36L2",4.66177846056403e-37,-0.818449539464707,0.321,0.578,1.27700097370231e-32
"astrocytes_Alzheimer","TNIK",1.3579378625187e-36,-0.506409325747635,0.976,0.992,3.71979918679748e-32
"astrocytes_Alzheimer","FLG-AS1",2.25144862545853e-36,0.537666015359718,0.373,0.15,6.16739321971855e-32
"astrocytes_Alzheimer","HES5",2.80687283126877e-36,-1.17216929398812,0.116,0.347,7.68886674669454e-32
"astrocytes_Alzheimer","EEF2K",2.93261339485915e-36,0.737915321983398,0.546,0.322,8.03330787253768e-32
"astrocytes_Alzheimer","GRM3",4.14389620591001e-36,-0.803835215729409,0.635,0.806,1.13513748768493e-31
"astrocytes_Alzheimer","DIO2",5.09548708799985e-36,-0.655484777528356,0.18,0.436,1.3958067780158e-31
"astrocytes_Alzheimer","FOS",6.66093889873697e-36,-0.53773838709054,0.118,0.387,1.82463099253102e-31
"astrocytes_Alzheimer","PARD3",2.57330513334858e-35,0.502429406044828,0.978,0.972,7.04905475178177e-31
"astrocytes_Alzheimer","YBX3",6.70428158859951e-35,-0.929419397714564,0.133,0.363,1.83650385556506e-30
"astrocytes_Alzheimer","CDH20",1.0105179980651e-34,0.457571411885307,0.984,0.974,2.76811195209972e-30
"astrocytes_Alzheimer","TRIO",1.02289894740358e-34,-0.675403895052144,0.859,0.911,2.80202708662263e-30
"astrocytes_Alzheimer","AC098829.1",1.72816450879276e-34,-0.875615139936827,0.267,0.522,4.73396103893602e-30
"astrocytes_Alzheimer","CHI3L1",1.94467012378287e-34,-1.05151856898971,0.191,0.434,5.32703487007842e-30
"astrocytes_Alzheimer","MIDN",2.69227668733974e-34,-0.703492769278638,0.196,0.441,7.37495352962974e-30
"astrocytes_Alzheimer","ZHX3",3.40249758577592e-34,0.496253981762437,0.92,0.881,9.32046163671599e-30
"astrocytes_Alzheimer","GNA14-AS1",3.59024061000498e-34,-0.639832462856403,0.178,0.425,9.83474610298664e-30
"astrocytes_Alzheimer","SASH1",7.30531123561865e-34,0.511157818623792,0.957,0.924,2.00114390677302e-29
"astrocytes_Alzheimer","WIF1",7.44563963746238e-34,-0.701374898677949,0.275,0.547,2.03958406589007e-29
"astrocytes_Alzheimer","BAG3",1.76144825578415e-33,-0.658905525703684,0.249,0.491,4.82513520706952e-29
"astrocytes_Alzheimer","FAM189A2",6.09675947336362e-33,-1.25951581843131,0.792,0.878,1.6700853225385e-28
"astrocytes_Alzheimer","KANSL1",6.12184993343988e-33,0.578881441463799,0.817,0.717,1.67695835226719e-28
"astrocytes_Alzheimer","MT1M",1.16787881204272e-32,-0.876660005327987,0.196,0.427,3.19917042982863e-28
"astrocytes_Alzheimer","ITGAV",2.58995909733797e-32,-0.805843330534334,0.582,0.712,7.0946749553379e-28
"astrocytes_Alzheimer","CACNA1B",3.15424513837001e-32,0.614860609211792,0.409,0.197,8.64042370753696e-28
"astrocytes_Alzheimer","GALNT18",9.77579468386951e-32,-0.636785835920376,0.599,0.777,2.67788343775237e-27
"astrocytes_Alzheimer","ADCY2",1.58225766623242e-31,0.412644733185638,0.985,0.988,4.33427842511046e-27
"astrocytes_Alzheimer","RGS16",3.17834179994703e-31,-0.568624651182502,0.012,0.196,8.70643169259489e-27
"astrocytes_Alzheimer","FKBP5",4.17002652546404e-31,0.72395131568404,0.622,0.407,1.14229536612037e-26
"astrocytes_Alzheimer","SERPINE2",4.91132029935069e-31,-0.562161797780717,0.716,0.855,1.34535796960114e-26
"astrocytes_Alzheimer","GABRA2",1.21143092642015e-30,-0.598561109846655,0.736,0.854,3.31847273674272e-26
"astrocytes_Alzheimer","LRRC37A3",1.24293863128667e-30,0.640847462306214,0.567,0.366,3.40478179268357e-26
"astrocytes_Alzheimer","CPEB4",1.33544811928808e-30,-0.519697238001143,0.775,0.877,3.65819303316584e-26
"astrocytes_Alzheimer","PTPRZ1",1.39665682679131e-30,-0.639213486382626,0.925,0.964,3.82586204562945e-26
"astrocytes_Alzheimer","RHOB",1.41233336595419e-30,-0.544278202308896,0.345,0.596,3.86880478935832e-26
"astrocytes_Alzheimer","C11orf96",3.08755797311894e-30,-0.548246728808088,0.003,0.175,8.45774755576471e-26
"astrocytes_Alzheimer","MGST1",3.14092132550016e-30,-0.535657415962862,0.717,0.844,8.60392578694258e-26
"astrocytes_Alzheimer","CYR61",6.07449386853071e-30,-0.520823236121918,0.056,0.256,1.66398610540662e-25
"astrocytes_Alzheimer","MATN2",2.13079807013554e-29,-0.948788041993428,0.168,0.377,5.83689515352229e-25
"astrocytes_Alzheimer","SMURF2",2.18147643947506e-29,-0.776233191153906,0.496,0.661,5.97571841065403e-25
"astrocytes_Alzheimer","SLC25A18",3.09132815211835e-29,0.566210555477823,0.85,0.744,8.4680752070978e-25
"astrocytes_Alzheimer","SON",3.46315541055214e-29,0.590122834303453,0.775,0.703,9.48662161612548e-25
"astrocytes_Alzheimer","TCAF2",3.79265371249992e-29,-0.46657096764841,0.031,0.218,1.0389216314651e-24
"astrocytes_Alzheimer","UBAC2",6.25413735384343e-29,-0.76202932843828,0.474,0.617,1.71319584533833e-24
"astrocytes_Alzheimer","FMNL3",6.74338865969296e-29,0.365543325946486,0.208,0.062,1.84721645554969e-24
"astrocytes_Alzheimer","MALAT1",8.34895624196138e-29,0.382639939597851,1,1,2.28702958336048e-24
"astrocytes_Alzheimer","NAV2",8.55159363941266e-29,-0.456836696283902,0.953,0.97,2.34253804564431e-24
"astrocytes_Alzheimer","ITGB8",9.15395285174536e-29,0.621994102758575,0.673,0.494,2.50754230467861e-24
"astrocytes_Alzheimer","DPH6-DT",1.37825603836616e-28,0.61520706963317,0.564,0.352,3.77545676589643e-24
"astrocytes_Alzheimer","UST",1.46703391560001e-28,-0.573278766186859,0.327,0.559,4.0186460050031e-24
"astrocytes_Alzheimer","SLC39A14",1.62822641517231e-28,-0.647465205561992,0.11,0.318,4.46020061908152e-24
"astrocytes_Alzheimer","RTN4",2.47848402651265e-28,-0.521640509931348,0.645,0.778,6.78931129382609e-24
