"Genename","X","GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","X.1","cell_type","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABAT",1,18,16,8733444,8888432,1107,105,455258,2.2912,0.010975,NA,"macrophage",0.502334954360502,0.574805129781368,0.2,0,1
"ABAT",1,18,16,8733444,8888432,1107,105,455258,2.2912,0.010975,NA,"hybrid",0.0022321246903875,-0.325814233253625,0.197,0.319,1
"ABAT",1,18,16,8733444,8888432,1107,105,455258,2.2912,0.010975,NA,"astrocytes",8.29505400625592e-08,0.278848810844637,0.405,0.293,0.00227226414393368
"ABHD10",576,55347,3,111662723,111722215,310,28,455258,2.2947,0.010876,NA,"macrophage",0.560509091438514,0.780858407515774,0.4,0.25,1
"ABHD10",576,55347,3,111662723,111722215,310,28,455258,2.2947,0.010876,NA,"endothelial",0.188525795669001,-0.648311809438132,0,0.214,1
"ABI3",516,51225,17,47252589,47310587,205,30,455258,3.4918,0.00023993,NA,"macrophage",0.771018624180564,0.684641103518954,0.4,0.25,1
"ACIN1",429,22985,14,23517773,23599823,261,37,455258,2.1934,0.014138,NA,"macrophage",0.240420786368435,1.18804061448605,0.4,0,1
"ACSL1",88,2180,4,185666749,185782215,603,60,455258,2.8148,0.0024405,NA,"microglia",4.79405397650482e-42,0.828461178286163,0.636,0.305,1.31323520578396e-37
"ACSL1",88,2180,4,185666749,185782215,603,60,455258,2.8148,0.0024405,NA,"endothelial",0.0846709769927367,1.0209528100808,0.375,0.071,1
"ADAM10",2,102,15,58877403,59077177,682,36,455258,4.793,8.215e-07,NA,"macrophage",0.687321801173995,-0.422282923581869,0.4,0.5,1
"ADAM10",2,102,15,58877403,59077177,682,36,455258,4.793,8.215e-07,NA,"endothelial",0.456056540250256,-1.3355886147521,0.375,0.5,1
"ADAP1",408,11033,7,927537,1030208,751,102,455258,2.304,0.01061,NA,"endothelial",0.219302649679319,0.291715123999426,0.125,0,1
"ADAP1",408,11033,7,927537,1030208,751,102,455258,2.304,0.01061,NA,"macrophage",0.502334954360502,0.574805129781368,0.2,0,1
"ADD3",3,120,10,111730627,111905323,650,39,455258,2.0065,0.022402,NA,"macrophage",0.502334954360502,0.574805129781368,0.2,0,1
"ADD3",3,120,10,111730627,111905323,650,39,455258,2.0065,0.022402,NA,"endothelial",1,0.63073233794593,0.25,0.286,1
"ADGRE2",503,30817,19,14833509,14924353,586,50,455258,2.0936,0.018149,NA,"macrophage",0.347654480133319,1.42598041569357,0.6,0.25,1
"ADGRF5",870,221395,6,46810242,46957681,780,60,455258,2.0799,0.018767,NA,"endothelial",0.0648244897857776,0.936675775696594,0.25,0,1
"ADRM1",410,11047,20,60842112,60894206,265,37,455258,2.0057,0.022443,NA,"macrophage",0.502334954360502,1.01094337768658,0.2,0,1
"AGRN",941,375790,1,920503,1001499,488,50,455258,2.14,0.016176,NA,"endothelial",0.0899425678438563,0.776471537585586,0.5,0.143,1
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"endothelial",0.133103281459193,-0.687386370463636,0.875,0.929,1
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"hybrid",0.0572007906843647,-0.291785170775794,0.769,0.797,1
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"microglia",4.54145448928136e-06,-0.308026856914026,0.725,0.744,0.124404062824884
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"macrophage",0.502334954360502,-1.13043019341435,0.4,0.5,1
"ANKDD1A",929,348094,15,65169095,65261042,381,47,455258,1.9716,0.024328,NA,"endothelial",1,0.27086628167517,0.125,0.143,1
"ANKIB1",537,54467,7,91840530,92040698,343,36,455258,2.5893,0.0048089,NA,"endothelial",0.634742792470545,0.929520209522826,0.375,0.357,1
"ANKRD30B",939,374860,18,14713239,14862737,491,27,455258,2.014,0.022004,NA,"endothelial",0.219302649679319,0.36067481745622,0.125,0,1
"ANPEP",9,290,15,90318126,90393119,316,42,455258,2.3766,0.0087355,NA,"endothelial",0.219302649679319,0.414077941517571,0.125,0,1
"AP1AR",579,55435,4,113117893,113201211,232,29,455258,2.5364,0.0056,NA,"macrophage",0.502334954360502,1.01094337768658,0.2,0,1
"AP1AR",579,55435,4,113117893,113201211,232,29,455258,2.5364,0.0056,NA,"endothelial",0.304978908217208,-0.347833445657638,0,0.143,1
