"Genename","X","GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","X.1","cell_type","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABAT",1,18,16,8733444,8888432,1107,105,455258,2.2912,0.010975,NA,"macrophage_Alzheimer",0.502334954360502,0.574805129781368,0.2,0,1
"ABAT",1,18,16,8733444,8888432,1107,105,455258,2.2912,0.010975,NA,"hybrid_Alzheimer",0.0022321246903875,-0.325814233253625,0.197,0.319,1
"ABAT",1,18,16,8733444,8888432,1107,105,455258,2.2912,0.010975,NA,"astrocytes_Alzheimer",8.29505400625592e-08,0.278848810844637,0.405,0.293,0.00227226414393368
"ABCA7",370,10347,19,1005102,1075571,496,67,455258,6.6479,1.4862e-11,NA,NA,NA,NA,NA,NA,NA
"ABCD2",6,225,12,39935022,40048843,350,41,455258,2.0117,0.022126,NA,NA,NA,NA,NA,NA,NA
"ABHD10",576,55347,3,111662723,111722215,310,28,455258,2.2947,0.010876,NA,"macrophage_Alzheimer",0.560509091438514,0.780858407515774,0.4,0.25,1
"ABHD10",576,55347,3,111662723,111722215,310,28,455258,2.2947,0.010876,NA,"endothelial_Alzheimer",0.188525795669001,-0.648311809438132,0,0.214,1
"ABI3",516,51225,17,47252589,47310587,205,30,455258,3.4918,0.00023993,NA,"macrophage_Alzheimer",0.771018624180564,0.684641103518954,0.4,0.25,1
"ACE",66,1636,17,61519422,61585741,198,33,455258,4.8577,5.9372e-07,NA,NA,NA,NA,NA,NA,NA
"ACIN1",429,22985,14,23517773,23599823,261,37,455258,2.1934,0.014138,NA,"macrophage_Alzheimer",0.240420786368435,1.18804061448605,0.4,0,1
"ACMSD",809,130013,2,135560994,135669604,299,23,455258,3.8657,5.5376e-05,NA,NA,NA,NA,NA,NA,NA
"ACSL1",88,2180,4,185666749,185782215,603,60,455258,2.8148,0.0024405,NA,"microglia_Alzheimer",4.79405397650482e-42,0.828461178286163,0.636,0.305,1.31323520578396e-37
"ACSL1",88,2180,4,185666749,185782215,603,60,455258,2.8148,0.0024405,NA,"endothelial_Alzheimer",0.0846709769927367,1.0209528100808,0.375,0.071,1
"ADAM10",2,102,15,58877403,59077177,682,36,455258,4.793,8.215e-07,NA,"macrophage_Alzheimer",0.687321801173995,-0.422282923581869,0.4,0.5,1
"ADAM10",2,102,15,58877403,59077177,682,36,455258,4.793,8.215e-07,NA,"endothelial_Alzheimer",0.456056540250256,-1.3355886147521,0.375,0.5,1
"ADAM30",412,11085,1,120426156,120474147,109,18,455258,2.1057,0.017613,NA,NA,NA,NA,NA,NA,NA
"ADAMTS4",335,9507,1,161149538,161203845,190,49,455258,4.9923,2.984e-07,NA,NA,NA,NA,NA,NA,NA
"ADAP1",408,11033,7,927537,1030208,751,102,455258,2.304,0.01061,NA,"endothelial_Alzheimer",0.219302649679319,0.291715123999426,0.125,0,1
"ADAP1",408,11033,7,927537,1030208,751,102,455258,2.304,0.01061,NA,"macrophage_Alzheimer",0.502334954360502,0.574805129781368,0.2,0,1
"ADD3",3,120,10,111730627,111905323,650,39,455258,2.0065,0.022402,NA,"macrophage_Alzheimer",0.502334954360502,0.574805129781368,0.2,0,1
"ADD3",3,120,10,111730627,111905323,650,39,455258,2.0065,0.022402,NA,"endothelial_Alzheimer",1,0.63073233794593,0.25,0.286,1
"ADGRE1",76,2015,19,6852560,6950464,673,44,455258,2.2142,0.013406,NA,NA,NA,NA,NA,NA,NA
"ADGRE2",503,30817,19,14833509,14924353,586,50,455258,2.0936,0.018149,NA,"macrophage_Alzheimer",0.347654480133319,1.42598041569357,0.6,0.25,1
"ADGRF1",894,266977,6,46957116,47045082,342,51,455258,1.9713,0.024347,NA,NA,NA,NA,NA,NA,NA
